product_id,name,description,category_id,brand,price,cost,stock_quantity,is_active,created_at
92,Razer Numquam Lite,Siège boire pont même vin exister fort.,4,Razer,113.95,80.88,7,True,2024-03-20
93,Logitech Cupiditate Air,Peur passion nu aider reprendre.,4,Logitech,340.41,225.24,483,True,2026-04-05
94,Logitech Debitis Plus,Attenzione riguardare corso credere spegnere ferro.,4,Logitech,206.74,141.13,174,True,2023-10-18
95,Corsair Saepe Plus,Puso nuevo quien obra pueden sur sus.,4,Corsair,53.11,41.62,37,True,2023-10-22
96,Razer México Pro,Eum cupiditate amet qui minima quia labore quod maiores autem.,4,Razer,285.92,160.89,127,True,2025-11-03
97,Razer Godere Plus,Quanto sì politica esercito piacere.,4,Razer,274.08,193.2,152,True,2025-11-29
98,Logitech Ni Max,Grain bruit prêter heureux surtout entier chemin celui.,4,Logitech,218.62,134.45,320,True,2023-12-18
99,Razer Vento Pro,Öffnen mal Klasse nichts Brief schreiben verlieren rechnen.,4,Razer,73.05,57.07,209,True,2026-02-21
100,Logitech Giorno Air,Souvent garçon sang fort protéger énergie énergie devant unique.,4,Logitech,92.31,57.53,440,True,2024-10-25
101,Sennheiser Bien Plus,Sí gran modelo local cuya.,5,Sennheiser,303.31,171.85,58,True,2024-05-05
102,Bose Volontà Lite,Possedere impedire spettacolo troppo infatti teatro argomento egli.,5,Bose,49.71,37.71,304,True,2025-02-15
103,Sony Halbe Plus,Sociales toda resultados hija puesto cuya presidente dar ley empresas.,5,Sony,220.54,159.67,482,True,2026-04-11
104,Sony Vista Air,Muerto título mujeres mujer precisamente llegar buena a zonas fuerte.,5,Sony,276.16,159.52,165,True,2023-08-26
105,Bose Blanc,At minus fugiat iste culpa.,5,Bose,432.62,255.68,300,True,2025-01-06
106,Sony Sein,Nennen Wald die so baden Bild kann ins nie ihn.,5,Sony,347.14,262.51,333,True,2025-01-24
107,Sennheiser Quam Pro,Estudio tú viene efecto tratamiento muy comisión favor.,5,Sennheiser,206.43,123.12,240,True,2025-05-17
108,Sony Situación Air,Sonst Sonne gab danach Lehrerin jeder.,5,Sony,387.83,278.29,253,True,2025-10-02
109,Sony Modi Lite,Matrimonio sforzo scoppiare atto sorridere anno aggiungere.,5,Sony,214.58,154.79,59,True,2025-10-09
110,Sony Juicio Plus,Jahr hängen Papa gab hängen Zahl dumm Wissen kochen schlecht.,5,Sony,301.79,200.49,27,True,2025-07-14
111,Apple Bleiben Max,Dernier noire mais forcer encore.,5,Apple,287.93,175.64,136,True,2025-02-13
112,Apple Fallen,Berg Onkel Mama Eltern sprechen Haare.,5,Apple,71.21,39.64,409,True,2024-05-24
113,Sennheiser Ex Max,Mis cuenta cómo peso vida marzo.,5,Sennheiser,24.88,17.37,430,True,2026-02-04
114,Bose Pendant,Labbro territorio notare pericoloso peggio sottile pensare cielo attenzione invece.,5,Bose,233.3,144.84,361,True,2026-03-19
115,Bose Suchen Max,Bauen letzte Geld Kind bauen Tür Berg vier verstecken nur.,5,Bose,215.42,164.55,471,True,2024-04-09
116,JBL Preferire Lite,Mien respecter supporter hôtel risquer pénétrer entier jamais cheval attention.,5,JBL,351.25,205.97,478,True,2025-01-02
117,JBL Principios,Lernen dumm Finger Junge kalt.,5,JBL,331.2,195.62,337,True,2024-05-04
118,Sennheiser Durare,Wenn Hilfe spielen schenken bald ohne Glas gibt.,5,Sennheiser,227.27,162.93,193,True,2025-04-24
119,Bose Preparare Plus,See reiten weinen von Glas Name den.,5,Bose,264.87,196.43,22,True,2026-02-27
120,Apple Genau Air,Nourrir transformer en ferme respecter rôle.,5,Apple,444.02,267.26,77,True,2023-09-18
121,Sennheiser Come Pro,Expression extraordinaire condition croix trou jour déchirer chambre avant sens.,5,Sennheiser,434.1,311.25,447,True,2024-01-25
122,Apple Económica Air,Ancora filo rimanere caso gioco colpa servizio risolvere scrittore cominciare.,5,Apple,25.6,19.56,496,True,2026-02-20
123,JBL Attendre Pro,Plus demeurer hier droite quoi hors marche en.,5,JBL,287.0,201.08,436,True,2025-08-21
124,Apple Dominer Pro,Zur kommen fährt Herz machen Zahl tot Stück dem Fisch.,5,Apple,394.12,311.76,120,True,2025-02-12
125,Sony Machine Air,Provincia mettere capitare avvicinare collo.,5,Sony,205.61,159.43,360,True,2025-12-29
126,Garmin Prix Pro,At tenetur repellendus suscipit ut impedit id fugiat harum.,6,Garmin,635.26,500.9,150,True,2025-12-03
127,Samsung Campo Max,Eum aut quaerat excepturi corporis.,6,Samsung,389.57,256.54,87,True,2025-08-26
128,Samsung Cuanto Max,Réalité intention ou tantôt agir cuisine.,6,Samsung,367.46,240.4,236,True,2026-01-31
129,Apple Quo Lite,Infatti ritenere determinare capace di personale pazzo assistere sicuro materia.,6,Apple,632.28,432.28,346,True,2023-12-03
130,Garmin Alzare Plus,Difesa chiaro insegnare particolare difendere improvviso popolo azione vestito attento.,6,Garmin,690.85,501.01,353,True,2025-03-14
131,Xiaomi Valere Plus,Neppure giù linea periodo visita dirigere affatto rosso fiume.,6,Xiaomi,602.2,465.7,292,True,2025-03-01
132,Apple Enero Lite,Cattolico forte finché pezzo servire presenza vino lungo.,6,Apple,684.44,434.92,4,True,2023-10-13
133,Xiaomi Deleniti Max,Todo dice enero considera mal propio hijo sala pronto.,6,Xiaomi,588.67,338.05,310,True,2024-09-25
134,Samsung Psoe Air,Explicabo quos sint ex commodi facilis suscipit.,6,Samsung,448.79,282.99,392,True,2024-04-10
135,Apple Me Lite,Lehrer Lehrerin werfen Loch Stück sehr.,6,Apple,635.25,405.55,403,True,2025-07-21
136,Apple Primeros Plus,Naturalmente fatica avanti polizia essa padrone.,6,Apple,639.35,459.26,89,True,2025-07-23
137,Fitbit Déjà Lite,Honneur prononcer temps oser habiter passage respecter assez.,6,Fitbit,641.9,380.25,467,True,2026-03-17
138,Garmin Loin Pro,Unico chiamare pane riva amore attendere.,6,Garmin,569.79,389.12,72,True,2024-10-09
139,Fitbit Hat Pro,Ancien chiffre hôtel fatiguer hier avant chambre faire enfermer doute.,6,Fitbit,280.41,168.9,135,True,2026-01-21
140,Garmin Le Lite,Maxime totam blanditiis quod provident dolor nostrum possimus voluptatum.,6,Garmin,424.81,252.51,55,True,2026-02-24
141,Fitbit Cupiditate,Iste tempore ipsum assumenda placeat.,6,Fitbit,622.59,410.69,113,True,2026-02-09
142,Xiaomi Schaffen Pro,Mich ganz gefährlich Ding schwarz.,6,Xiaomi,116.01,91.49,155,True,2024-02-27
143,Samsung Magni Plus,Cantare convincere certamente sacrificio almeno neppure gatto.,6,Samsung,624.59,478.49,189,True,2025-11-09
144,Samsung Decisione Plus,Atteggiamento gridare punto lungo impedire.,6,Samsung,623.37,396.63,315,True,2025-01-27
145,Garmin Révolution Max,Aquellas dónde personal análisis internacional sectores.,6,Garmin,182.4,125.64,437,True,2025-07-26
146,Garmin Fatica Pro,Magnam sit rerum maxime esse cum vel dolorem veniam.,6,Garmin,78.96,57.72,485,True,2026-01-21
147,Samsung Mattina Pro,Tipo instituto hora hubo cuyo sí república.,6,Samsung,462.52,300.97,25,True,2024-11-14
148,Fitbit Don,Quam non sapiente natus repudiandae adipisci aliquid odit nemo officiis quisquam.,6,Fitbit,174.44,103.36,106,True,2024-10-24
149,Samsung Soir Lite,Dicen alguien dónde manos centro cuestión camino miembros crecimiento.,6,Samsung,559.5,364.24,439,True,2024-03-27
150,Garmin Nulla Pro,Inquiétude étage charger situation ensemble voir étendue fort réclamer.,6,Garmin,566.02,437.26,67,False,2024-11-03
151,UGREEN Volontà Max,Número ellos personal nacional mi deseo entrar base.,7,UGREEN,6.17,4.53,379,True,2024-02-22
152,Spigen Itaque,Considerare collina vuoto libertà staccare marito bambina grande.,7,Spigen,38.17,27.08,55,True,2024-09-30
153,Anker Essuyer Air,Explicabo amet libero sunt omnis iusto modi sed inventore sunt.,7,Anker,58.82,33.69,266,True,2023-09-06
154,Spigen Spiel Pro,Après arrêter mode extraordinaire durer fine huit mentir.,7,Spigen,67.7,46.95,251,True,2025-12-29
155,Anker Coscienza Max,Hic recusandae excepturi vel quidem.,7,Anker,28.84,22.0,140,True,2025-04-30
156,UGREEN Sed Pro,Matrimonio anzi centrale figlio lontano legare palazzo metro.,7,UGREEN,38.57,25.02,406,True,2024-09-17
157,Spigen Wir Plus,Colpa volgere rapido escludere filo sereno montagna prossimo.,7,Spigen,70.72,49.26,204,True,2024-01-15
158,Spigen Langsam Max,Mercado hacer dado falta pp tribunal pueda rey.,7,Spigen,28.13,20.71,351,True,2023-11-19
159,Anker Zimmer Air,Davvero argomento là minuto qualche risultare giovane sembrare difesa né.,7,Anker,11.9,9.23,190,True,2023-11-04
160,UGREEN Juan Air,Seguridad política compañía dirección características toma tribunal estructura ni.,7,UGREEN,54.58,38.06,481,True,2023-10-18
161,UGREEN Quas Max,Eveniet optio minima et cupiditate totam exercitationem explicabo quo quam.,7,UGREEN,31.02,20.33,79,True,2024-10-06
162,UGREEN Nächste Lite,Vaincre doute égal trembler visite rejoindre.,7,UGREEN,67.56,47.84,293,True,2025-11-29
163,Anker Voluptas Air,Jeu minute train professeur durant mourir mêler supporter.,7,Anker,50.07,31.82,136,False,2025-01-14
164,UGREEN Joindre Max,Aliquam veritatis aspernatur unde omnis quibusdam distinctio.,7,UGREEN,30.98,23.38,289,True,2023-11-24
165,Anker Lungo Plus,Centro partire opera differenza possedere mondo personaggio.,7,Anker,11.79,7.87,214,True,2024-05-22
166,UGREEN Antes,Principe bois rejeter accent mer tourner frère traîner.,7,UGREEN,58.4,35.38,305,True,2023-10-20
167,Belkin Plaine Pro,Eum officia tenetur at nemo modi quam.,7,Belkin,60.83,47.91,139,True,2025-11-19
168,Spigen Obstante,Sunt cupiditate ullam voluptatum id libero vel vitae unde.,7,Spigen,35.65,26.6,58,True,2024-02-17
169,Spigen Del Max,Nicht wichtig Glas Klasse Pferd Luft warten dazu lernen früh.,7,Spigen,43.99,31.8,202,True,2023-10-25
170,Belkin Español Max,Officia quaerat accusamus excepturi eos perferendis deserunt nostrum odit.,7,Belkin,27.31,20.41,391,True,2025-05-06
171,Anker Nuit Max,Azzurro posizione congresso che fede dinanzi distruggere destino.,7,Anker,41.81,28.95,194,True,2024-10-18
172,UGREEN Wünschen Pro,Name müde frei Hand Ferien rund Kopf.,7,UGREEN,10.33,6.04,223,False,2023-12-11
173,Spigen Necessitatibus Plus,Prima personaggio troppo gamba cui usare luna.,7,Spigen,47.43,29.53,148,True,2023-08-16
174,Belkin Sérieux Air,Schreiben weiß sofort Stück trinken Sommer schenken nennen stehen.,7,Belkin,64.3,41.5,470,True,2025-12-15
175,Belkin Rosso Pro,Autore notare assicurare nazione meglio né ci fermo.,7,Belkin,37.24,26.06,202,True,2025-05-30
